label,loc_diff_size,has_inline_conflict,num_failed_hunks,patching_error_type,inline_conflict_lines,conflict_file_name,ast_node_diff_count,function_scope_change,number_of_changed_functions
SEMANTIC,65,1,2,other,32,zanata-server/src/SecurityServiceImpl.java,15,1,6
DISJOINT,28,1,1,other,14,jdktomcat/src/Controller.java,7,0,3
DELETE,15,1,1,hunk_failed,8,osmandapp/src/MapView.java,5,1,2
FORMATTING,12,1,0,skipped,6,MSLoggerBase/src/Logger.java,2,0,0
COMMENTS,10,1,0,skipped,5,MSLoggerBase/src/Logger.java,1,0,0
OTHER,35,1,1,other,20,random/filepath.c,9,1,4
SEMANTIC,94,1,0,hunk_failed,40,project/src/File92.java,329,1,4
SEMANTIC,46,1,2,skipped,16,project/src/File77.java,127,1,2
SEMANTIC,96,1,1,skipped,38,project/src/File76.java,255,1,2
SEMANTIC,95,1,0,other,25,project/src/File69.java,221,1,5
DISJOINT,39,1,2,skipped,34,project/src/File89.java,460,0,2
DISJOINT,116,1,0,skipped,45,project/src/File57.java,462,0,3
DISJOINT,89,1,1,file_missing,38,project/src/File81.java,431,0,3
DISJOINT,42,1,2,file_missing,10,project/src/File53.java,192,0,0
DELETE,52,1,2,skipped,23,project/src/File96.java,270,1,1
DELETE,110,1,1,other,35,project/src/File94.java,354,1,4
DELETE,25,1,2,other,28,project/src/File97.java,266,1,3
DELETE,89,1,2,other,39,project/src/File44.java,382,1,4
FORMATTING,29,1,1,hunk_failed,21,project/src/File21.java,420,0,4
FORMATTING,67,1,2,skipped,44,project/src/File88.java,451,0,5
FORMATTING,91,1,1,skipped,46,project/src/File45.java,436,0,4
FORMATTING,18,1,1,hunk_failed,19,project/src/File64.java,215,0,3
COMMENTS,11,1,0,skipped,22,project/src/File49.java,255,0,2
COMMENTS,98,1,0,file_missing,39,project/src/File87.java,434,0,3
COMMENTS,142,1,1,skipped,37,project/src/File39.java,480,0,5
COMMENTS,137,1,1,other,17,project/src/File35.java,267,0,1
OTHER,69,1,2,hunk_failed,24,project/src/File24.java,284,1,2
OTHER,102,1,0,skipped,21,project/src/File86.java,304,1,5
OTHER,87,1,2,other,41,project/src/File84.java,312,1,3
OTHER,121,1,1,skipped,49,project/src/File79.java,375,1,4
