cve_id,result,num_failed_hunks,patching_error_type,has_rej_file,has_inline_conflict,upstream_commit_date,commit_date,days_between_commits,loc_diff_size,inline_conflict_lines,conflict_file_name,ast_node_diff_count,function_scope_change,number_of_changed_functions,uncertainty,predicted_label,confidence
CVE-2025-21721,failure,6,1,1,1,2025-01-24 22:47:25 -0800,2025-02-27 04:10:54 -0800,33,106,69,5,0,0,0,0.76,SEMANTIC,0.24
CVE-2025-21721,failure,6,1,1,1,2025-01-24 22:47:25 -0800,2025-03-13 12:43:04 +0100,47,106,69,5,0,0,0,0.76,SEMANTIC,0.24
CVE-2025-21721,failure,6,1,1,1,2025-01-24 22:47:25 -0800,2025-03-13 12:47:43 +0100,47,106,69,5,0,0,0,0.76,SEMANTIC,0.24
CVE-2025-21721,failure,6,1,1,1,2025-01-24 22:47:25 -0800,2025-03-13 12:51:12 +0100,47,107,71,5,0,0,0,0.76,SEMANTIC,0.24
CVE-2025-21721,failure,6,1,1,1,2025-01-24 22:47:25 -0800,2025-03-13 12:53:25 +0100,47,107,71,5,0,0,0,0.76,SEMANTIC,0.24
CVE-2025-21647,failure,1,2,1,1,2025-01-09 08:18:41 -0800,2025-03-13 12:43:04 +0100,62,129,123,17,0,0,0,0.76,DISJOINT,0.24
CVE-2025-21647,failure,1,2,1,1,2025-01-09 08:18:41 -0800,2025-03-13 12:47:44 +0100,62,141,135,17,0,0,0,0.76,DISJOINT,0.24
CVE-2025-21647,failure,1,2,1,1,2025-01-09 08:18:41 -0800,2025-03-13 12:51:12 +0100,62,141,135,17,0,0,0,0.76,DISJOINT,0.24
CVE-2025-21712,failure,2,2,1,1,2025-01-24 10:03:32 -0800,2025-03-07 16:56:28 +0100,41,18,19,3,0,0,0,0.72,FORMATTING,0.28
CVE-2025-21691,failure,1,2,1,1,2025-01-21 20:30:19 -0800,2025-02-01 18:37:54 +0100,10,11,10,11,0,0,0,0.71,COMMENTS,0.29
CVE-2025-21666,failure,1,2,1,1,2025-01-14 12:29:37 +0100,2025-02-01 18:22:31 +0100,18,22,25,20,0,0,0,0.71,DISJOINT,0.29
CVE-2025-21756,failure,1,2,1,1,2025-01-29 18:50:36 -0800,2025-03-13 12:47:44 +0100,42,9,8,20,0,0,0,0.71,COMMENTS,0.29
CVE-2025-21706,failure,1,1,1,1,2025-01-27 15:07:02 -0800,2025-02-17 09:40:42 +0100,20,8,6,16,0,0,0,0.7,COMMENTS,0.3
CVE-2025-21722,failure,3,2,1,1,2025-01-24 22:47:24 -0800,2025-02-21 13:50:10 +0100,27,61,54,6,0,0,0,0.7,DISJOINT,0.3
CVE-2025-21722,failure,3,2,1,1,2025-01-24 22:47:24 -0800,2025-03-13 12:43:18 +0100,47,61,54,6,0,0,0,0.7,DISJOINT,0.3
CVE-2025-21691,failure,1,2,1,1,2025-01-21 20:30:19 -0800,2025-02-01 18:39:38 +0100,10,10,8,11,0,0,0,0.7,COMMENTS,0.3
CVE-2025-21722,failure,3,2,1,1,2025-01-24 22:47:24 -0800,2025-03-13 12:50:45 +0100,47,49,43,6,0,0,0,0.7,DISJOINT,0.3
CVE-2025-21639,failure,1,2,1,1,2025-01-09 08:53:34 -0800,2025-02-01 18:18:49 +0100,23,6,6,19,0,0,0,0.7,COMMENTS,0.3
CVE-2025-21693,failure,2,2,1,1,2025-01-12 19:03:36 -0800,2025-02-01 18:39:36 +0100,19,66,35,12,0,0,0,0.7,DISJOINT,0.3
CVE-2025-21722,failure,3,2,1,1,2025-01-24 22:47:24 -0800,2025-03-13 12:47:23 +0100,47,49,43,6,0,0,0,0.7,DISJOINT,0.3
