cve_id,result,num_failed_hunks,patching_error_type,has_rej_file,has_inline_conflict,upstream_commit_date,commit_date,days_between_commits,loc_diff_size,inline_conflict_lines,conflict_file_name,ast_node_diff_count,function_scope_change,number_of_changed_functions
CVE-2025-21655,failure,0,file_missing,0,0,2025-01-09 07:16:45 -0700,2025-01-17 13:34:47 +0100,7,0,0,,18,0,0
CVE-2025-21655,failure,0,file_missing,0,0,2025-01-09 07:16:45 -0700,2025-01-17 13:36:24 +0100,7,0,0,,18,0,0
CVE-2025-21655,failure,1,hunk_failed,1,1,2025-01-09 07:16:45 -0700,2025-01-17 13:40:58 +0100,7,24,10,io_uring/eventfd.c ---,501,1,2
CVE-2025-21659,failure,1,other,1,1,2025-01-08 10:21:00 -0800,2025-01-17 13:41:00 +0100,8,12,14,net/core/netdev-genl.c ---,315,0,0
CVE-2025-21693,failure,2,other,1,1,2025-01-12 19:03:36 -0800,2025-02-01 18:39:36 +0100,19,66,35,mm/zswap.c ---,898,1,1
CVE-2025-21836,failure,1,other,1,1,2025-02-12 07:30:52 -0700,2025-02-21 13:57:27 +0100,8,19,11,io_uring/kbuf.c ---,430,0,0
CVE-2025-21836,failure,1,other,1,1,2025-02-12 07:30:52 -0700,2025-02-21 14:01:47 +0100,8,19,11,io_uring/kbuf.c ---,430,0,0
CVE-2025-21836,failure,1,other,1,1,2025-02-12 07:30:52 -0700,2025-02-21 14:11:20 +0100,8,19,11,io_uring/kbuf.c ---,430,0,0
CVE-2025-21639,failure,1,other,1,1,2025-01-09 08:53:34 -0800,2025-02-01 18:18:49 +0100,23,6,6,net/sctp/sysctl.c ---,331,0,0
CVE-2025-21639,failure,1,other,1,1,2025-01-09 08:53:34 -0800,2025-02-01 18:22:26 +0100,23,4,3,net/sctp/sysctl.c ---,313,0,0
CVE-2025-21647,failure,1,other,1,1,2025-01-09 08:18:41 -0800,2025-03-13 12:43:04 +0100,62,129,123,net/sched/sch_cake.c ---,1258,0,0
CVE-2025-21647,failure,1,other,1,1,2025-01-09 08:18:41 -0800,2025-03-13 12:47:44 +0100,62,141,135,net/sched/sch_cake.c ---,1383,0,0
CVE-2025-21647,failure,1,other,1,1,2025-01-09 08:18:41 -0800,2025-03-13 12:51:12 +0100,62,141,135,net/sched/sch_cake.c ---,1383,0,0
CVE-2025-21666,failure,1,other,1,1,2025-01-14 12:29:37 +0100,2025-02-01 18:22:31 +0100,18,22,25,net/vmw_vsock/af_vsock.c ---,414,0,0
CVE-2025-21668,failure,0,file_missing,0,0,2025-01-16 16:10:32 +0100,2025-01-23 17:17:14 +0100,7,0,0,,18,0,0
CVE-2025-21669,failure,1,hunk_failed,1,1,2025-01-14 12:29:36 +0100,2025-01-23 17:16:03 +0100,9,16,10,net/vmw_vsock/virtio_transport_common.c ---,316,0,0
CVE-2025-21669,failure,1,hunk_failed,1,1,2025-01-14 12:29:36 +0100,2025-02-01 18:22:31 +0100,18,16,10,net/vmw_vsock/virtio_transport_common.c ---,316,0,0
CVE-2025-21684,failure,1,other,1,1,2025-01-14 14:04:38 +0100,2025-03-13 12:50:21 +0100,57,6,5,drivers/gpio/gpio-xilinx.c ---,243,0,0
CVE-2025-21686,failure,1,hunk_failed,1,1,2025-01-14 10:59:48 -0700,2025-02-01 18:39:40 +0100,17,17,12,io_uring/rsrc.c ---,282,0,0
CVE-2025-21687,failure,0,skipped,1,0,2025-01-23 13:13:27 -0700,2025-02-21 13:49:50 +0100,28,10,0,drivers/vfio/platform/vfio_platform_common.c ---,313,0,0
CVE-2025-21687,failure,0,skipped,1,1,2025-01-23 13:13:27 -0700,2025-03-13 12:43:10 +0100,48,26,20,drivers/vfio/platform/vfio_platform_common.c ---,532,0,0
CVE-2025-21687,failure,0,skipped,1,0,2025-01-23 13:13:27 -0700,2025-03-13 12:47:12 +0100,48,10,0,drivers/vfio/platform/vfio_platform_common.c ---,313,0,0
CVE-2025-21687,failure,0,skipped,1,0,2025-01-23 13:13:27 -0700,2025-03-13 12:50:32 +0100,48,10,0,drivers/vfio/platform/vfio_platform_common.c ---,313,0,0
CVE-2025-21691,failure,1,other,1,1,2025-01-21 20:30:19 -0800,2025-02-01 18:37:54 +0100,10,11,10,mm/filemap.c ---,237,0,0
CVE-2025-21691,failure,1,other,1,1,2025-01-21 20:30:19 -0800,2025-02-01 18:39:38 +0100,10,10,8,mm/filemap.c ---,215,0,0
CVE-2025-21702,failure,1,hunk_failed,1,1,2025-02-05 18:13:58 -0800,2025-03-07 16:56:51 +0100,29,8,6,net/sched/sch_fifo.c ---,303,0,0
CVE-2025-21702,failure,1,hunk_failed,1,1,2025-02-05 18:13:58 -0800,2025-03-13 12:43:25 +0100,35,8,6,net/sched/sch_fifo.c ---,303,0,0
CVE-2025-21702,failure,1,hunk_failed,1,1,2025-02-05 18:13:58 -0800,2025-03-13 12:47:34 +0100,35,8,6,net/sched/sch_fifo.c ---,303,0,0
CVE-2025-21702,failure,1,hunk_failed,1,1,2025-02-05 18:13:58 -0800,2025-03-13 12:51:00 +0100,35,8,6,net/sched/sch_fifo.c ---,303,0,0
CVE-2025-21702,failure,1,hunk_failed,1,1,2025-02-05 18:13:58 -0800,2025-03-13 12:58:40 +0100,35,8,6,net/sched/sch_fifo.c ---,303,0,0
CVE-2025-21706,failure,1,hunk_failed,1,1,2025-01-27 15:07:02 -0800,2025-02-17 09:40:42 +0100,20,8,6,net/mptcp/pm_netlink.c ---,279,0,0
CVE-2025-21712,failure,2,other,1,1,2025-01-24 10:03:32 -0800,2025-03-07 16:56:28 +0100,41,18,19,drivers/md/md.c ---,506,0,0
CVE-2025-21721,failure,6,hunk_failed,1,1,2025-01-24 22:47:25 -0800,2025-02-27 04:10:54 -0800,33,106,69,fs/nilfs2/dir.c ---,1877,0,0
CVE-2025-21721,failure,6,hunk_failed,1,1,2025-01-24 22:47:25 -0800,2025-03-13 12:43:04 +0100,47,106,69,fs/nilfs2/dir.c ---,1883,0,0
CVE-2025-21721,failure,6,hunk_failed,1,1,2025-01-24 22:47:25 -0800,2025-03-13 12:47:43 +0100,47,106,69,fs/nilfs2/dir.c ---,1883,0,0
CVE-2025-21721,failure,6,hunk_failed,1,1,2025-01-24 22:47:25 -0800,2025-03-13 12:51:12 +0100,47,107,71,fs/nilfs2/dir.c ---,1889,0,0
CVE-2025-21721,failure,6,hunk_failed,1,1,2025-01-24 22:47:25 -0800,2025-03-13 12:53:25 +0100,47,107,71,fs/nilfs2/dir.c ---,1889,0,0
CVE-2025-21722,failure,3,other,1,1,2025-01-24 22:47:24 -0800,2025-02-21 13:50:10 +0100,27,61,54,fs/nilfs2/page.c ---,886,1,1
