cve_id         , downstream_version, file_name                                                                , relative_line_count_similarity, token_level_edit_similarity, normalized_edit_similarity, cosine_similarity_openai, codebert_precision, codebert_recall, codebert_f1, codebert_f3
ASB-A-360846772, 12                , services/core/java/com/android/server/accounts/AccountManagerService.java,                         0.9657, skipped                    , skipped                   , skipped                 ,             0.9507,          0.9471,      0.9489,      0.9474
ASB-A-360846772, 12L               , services/core/java/com/android/server/accounts/AccountManagerService.java,                         0.9657, skipped                    , skipped                   , skipped                 ,             0.9507,          0.9471,      0.9489,      0.9474
ASB-A-369351375, 12                , services/core/java/com/android/server/accounts/AccountManagerService.java,                         0.9657, skipped                    , skipped                   , skipped                 ,             0.9507,          0.9471,      0.9489,      0.9474
ASB-A-369351375, 12L               , services/core/java/com/android/server/accounts/AccountManagerService.java,                         0.9657, skipped                    , skipped                   , skipped                 ,             0.9507,          0.9471,      0.9489,      0.9474
ASB-A-289375038, 13                , android/app/src/com/android/bluetooth/btservice/AdapterService.java      ,                         0.7987, 0.3499                     , 0.6501                    , skipped                 ,             0.9261,          0.9163,      0.9212,      0.9173
ASB-A-289375038, 14                , android/app/src/com/android/bluetooth/btservice/AdapterService.java      ,                         0.7987, 0.3499                     , 0.6501                    , skipped                 ,             0.9261,          0.9163,      0.9212,      0.9173
ASB-A-364025411, 13                , system/stack/gatt/gatt_sr.cc                                             ,                         0.9614, 0.844                      , 0.156                     , skipped                 ,             0.9552,          0.9548,      0.955 ,      0.9548
ASB-A-364025411, 14                , system/stack/gatt/gatt_sr.cc                                             ,                         0.9614, 0.844                      , 0.156                     , skipped                 ,             0.9552,          0.9548,      0.955 ,      0.9548
ASB-A-364027949, 13                , system/stack/gatt/gatt_sr.cc                                             ,                         0.9614, 0.844                      , 0.156                     , skipped                 ,             0.9552,          0.9548,      0.955 ,      0.9548
ASB-A-364027949, 14                , system/stack/gatt/gatt_sr.cc                                             ,                         0.9614, 0.844                      , 0.156                     , skipped                 ,             0.9552,          0.9548,      0.955 ,      0.9548
