cve_id         , downstream_version, file_name                                                                                                      , relative_line_count_similarity, token_level_edit_similarity, normalized_edit_similarity, cosine_similarity_openai, codebert_precision, codebert_recall, codebert_f1, codebert_f3
ASB-A-363248394, 12                , src/com/android/settings/notification/NotificationAccessConfirmationActivity.java                              ,                         0.8895, 0.8717                     , 0.1283                    , 0.9686                  ,             0.9308,          0.9112,      0.9209,      0.9131
ASB-A-363248394, 12L               , src/com/android/settings/notification/NotificationAccessConfirmationActivity.java                              ,                         0.8895, 0.8717                     , 0.1283                    , 0.9684                  ,             0.9308,          0.9112,      0.9209,      0.9131
ASB-A-277207798, 13                , core/java/com/android/internal/app/ChooserActivity.java                                                        ,                         0.9334, 0.1926                     , 0.8074                    , skipped                 ,             0.9389,          0.9322,      0.9355,      0.9329
ASB-A-352542820, 12                , src/com/android/settings/users/UserSettings.java                                                               ,                         0.6919, 0.4987                     , 0.5013                    , skipped                 ,             0.935 ,          0.9071,      0.9208,      0.9098
ASB-A-352542820, 12L               , src/com/android/settings/users/UserSettings.java                                                               ,                         0.6919, 0.4987                     , 0.5013                    , skipped                 ,             0.935 ,          0.9071,      0.9208,      0.9098
ASB-A-352542820, 13                , src/com/android/settings/users/UserSettings.java                                                               ,                         0.746 , 0.7307                     , 0.2693                    , skipped                 ,             0.9364,          0.9159,      0.9261,      0.9179
ASB-A-352542820, 14                , src/com/android/settings/users/UserSettings.java                                                               ,                         0.9295, 0.9013                     , 0.0987                    , skipped                 ,             0.9486,          0.9418,      0.9452,      0.9425
ASB-A-296915500, 13                , android/app/src/com/android/bluetooth/opp/BluetoothOppSendFileInfo.java                                        ,                         0.6936, 0.8405                     , 0.1595                    , 0.9742                  ,             0.9385,          0.9215,      0.93  ,      0.9232
ASB-A-296915500, 14                , android/app/src/com/android/bluetooth/opp/BluetoothOppSendFileInfo.java                                        ,                         0.7103, 0.8623                     , 0.1377                    , 0.9744                  ,             0.9423,          0.9248,      0.9334,      0.9265
ASB-A-370840874, 12                , libs/binder/Parcel.cpp                                                                                         ,                         0.7607, 0.6909                     , 0.3091                    , skipped                 ,             0.9608,          0.9259,      0.943 ,      0.9293
ASB-A-370840874, 12L               , libs/binder/Parcel.cpp                                                                                         ,                         0.7607, 0.6909                     , 0.3091                    , skipped                 ,             0.9608,          0.9259,      0.943 ,      0.9293
